gene,importance,importance_std,rank
ATP5E,6.214782526095708,9.605398996541025,356
DNAJA4,6.213781168063481,8.109677332296245,357
C16orf54,6.205818802118301,8.13715509640281,358
SLMO2,6.197395543257396,8.55808520119617,359
MARCO,6.172321279843648,17.80850973138527,360
RALGAPA1,6.1684234738349915,8.539668462516655,361
ANKDD1A,6.135954320430756,8.132915434262195,362
REEP5,6.133710076411565,9.266204854300184,363
RPS26P6,6.131042192379634,9.351428938142133,364
TREM1,6.06950310866038,17.533023892970125,365
RP11-75L1.2,6.028425171971321,8.362196414105528,366
CD163,6.026907761891683,14.808935375107758,367
MCL1,5.940963844458262,6.230602664733205,368
RPL18A,5.922234694163005,6.888359354977913,369
MYL6,5.888302902380626,9.717102705378663,370
NINJ1,5.862164457639058,14.3847172182585,371
HNRNPH1,5.84369162718455,7.9169532830698035,372
ARL6IP1,5.7898863554000854,9.030772177465023,373
PTPRCAP,5.749130705992381,8.4989321100244,374
CNR2,5.696293552716573,11.801437792195715,375
GNL3,5.668554623921712,8.581367052504472,376
RPL7,5.650652289390564,26.031740058749428,377
GCNT1,5.620038866996765,7.724404452674755,378
GPR171,5.586375276247661,8.492514313137178,379
AFF3,5.581497232119243,11.198064745496303,380
CTD-2031P19.4,5.555075496435165,8.231421332309324,381
SHISA5,5.525855243206024,9.319187864386716,382
FTLP3,5.523807754119237,11.64112371902791,383
JUND,5.5109922885894775,7.906544167717902,384
CBX3,5.508103231589,6.443496205149972,385
OAS2,5.500951806704204,10.039581153247134,386
RP11-640M9.1,5.480889121691386,7.59793110773068,387
CLIC1,5.473408172527949,14.1302182596895,388
GIMAP4,5.453064908583959,10.098276249161449,389
RPL26,5.430603106816609,6.143372454010185,390
IGHD,5.421931525071462,8.39480882689665,391
NUCB1,5.396316836277644,10.20472036224279,392
RPL28,5.375273555517197,7.876739065219175,393
CHORDC1,5.3453202446301775,8.929887873798554,394
CORO1A,5.293115486701329,9.423760905087395,395
RPL13A,5.281716197729111,7.748555292267808,396
KIAA1468,5.2475051283836365,6.210282455939882,397
COA1,5.239285598198573,7.500873906915591,398
ZNF286A,5.2339240709940595,6.3063151890180835,399
IFRD1,5.185589710871379,7.121388621622561,400
PRMT2,5.158834417661031,7.674851865188342,401
S100A4,5.154579202334086,10.641429364296828,402
CYTIP,5.150408168633779,9.738210487335687,403
RNU2-2P,5.1456899245580034,9.65376793662598,404
RPL30,5.109502762556076,9.734333841002224,405
AC016831.7,5.05815052986145,9.49170802189075,406
SRSF11,5.053710252046585,6.36149779068467,407
STK4,5.033652752637863,7.833379043953403,408
TMSB4XP4,5.032789935668309,8.2220571374711,409
RHBDF2,5.017014404137929,7.8302210146685765,410
TGFBR3,4.993193030357361,8.941129699343163,411
RP11-398K22.12,4.965982059637706,6.505619065583436,412
RPS6,4.956654657920201,12.825188166268983,413
RHOA,4.939051727453868,9.630631986248495,414
JAK3,4.898480117321014,8.54833289869578,415
ZBTB1,4.887762387593587,8.366761784866503,416
ITGAX,4.886732796827952,13.209385583252152,417
LMNA,4.885951618353526,9.303640511616193,418
USP34,4.872289419174194,7.296629259821096,419
HSP90AB3P,4.8656384746233625,7.77584499437659,420
APOBEC3G,4.832533737023671,10.390736668454432,421
PPDPF,4.725612958272298,8.26339663397082,422
MAN2C1,4.7190161148707075,7.820729971521626,423
NFKBIA,4.717967132727305,7.356910781207701,424
KIF3B,4.704979499181111,5.070882476553955,425
CR2,4.669047236442566,11.730069180978743,426
DDIT4,4.6159892082214355,10.494626793614442,427
PLEK,4.594983855883281,12.066176389394391,428
MAPK1IP1L,4.578226288159688,9.3133831034053,429
EZR,4.571514368057251,5.457851110188519,430
CTB-63M22.1,4.566007097562154,7.019767559338386,431
ZNF267,4.540191213289897,9.971138268071364,432
CFL1,4.523355295260747,6.909253766101697,433
CD55,4.5212038805087404,7.438386094477142,434
MUS81,4.483754922946294,7.709957777177193,435
PXN,4.4737511078516645,7.847042577262392,436
ARL5B,4.461589892705281,8.107219617565672,437
RP11-676M6.1,4.454136629899343,7.845284124894033,438
U2AF1,4.438061873118083,6.535977184559808,439
RP11-78A19.3,4.436796844005585,6.613688892795563,440
PLEKHG2,4.425419469674428,6.3897326876610645,441
RP11-1100L3.8,4.423771520455678,7.623928103767178,442
CCND3,4.352299625674884,6.83691340656139,443
UBE2S,4.3519846598307295,8.026963946134122,444
JUN,4.329917867978414,6.793874612938934,445
MSI2,4.323857963085175,7.589694301517088,446
CXCR3,4.31578994790713,8.785111711479333,447
FAU,4.296448816855748,7.012883413469688,448
HNRNPU,4.290713836749394,7.506431364275475,449
TNRC6B,4.289154201745987,5.9925515346879505,450
CTD-2192J16.15,4.2777546644210815,7.483562361623386,451
IFNG,4.277436395486196,8.966472788927792,452
PABPC1,4.276546875635783,7.181494999741007,453
AC120194.1,4.268768181403478,6.069987998768701,454
RAD54L2,4.259311854839325,7.175146927757307,455
DDHD1,4.219103366136551,7.265690497180118,456
RPL18AP3,4.19903560479482,7.012362946285456,457
CALM1,4.193162848552068,6.140135097523583,458
CSTB,4.19296732544899,9.59820350248323,459
CAP1,4.190352340539296,11.329473257942265,460
PLAC8,4.183762848377228,7.643960056398437,461
RBM39,4.163740913073222,6.70286814010945,462
IFI30,4.141974687576294,11.181514626544063,463
PIM2,4.120231665670872,7.248685270972999,464
NAPA,4.114091366529465,8.058289578514069,465
FTH1P11,4.106708665688832,7.479376119150858,466
PRPF40B,4.105727156003316,7.519324682744307,467
FLCN,4.093178749084473,8.21759848669215,468
SEMA4A,4.080473224322001,7.121700751834671,469
MYO1F,4.074525912602742,7.914191526323061,470
RP11-51O6.1,4.070895999670029,6.431392838591187,471
CXCL2,4.048760890960693,9.399631399094886,472
SART3,4.036348660786946,6.117453263070619,473
RPS15,4.008789589007695,7.731163031725381,474
GNB2L1,4.007366540531318,5.963705070482362,475
BRD2,3.993979344765345,7.847548565637495,476
PRPF38B,3.974434251586596,7.282578274039864,477
IVNS1ABP,3.9666613762577376,7.566152738235902,478
RP11-175B9.3,3.9249507983525596,6.682250914132075,479
CHN2,3.9210583368937173,6.860769335401633,480
NACA,3.916184057792028,6.365766119485168,481
TMEM259,3.899117410182953,7.185260702749497,482
TPM4,3.8874778548876443,6.550238553442436,483
SNAP47,3.835719257593155,9.74358225860265,484
DCAF8,3.825844923655192,8.002270303930148,485
RPS17L,3.819019099076589,6.307654206873393,486
RP11-169K16.8,3.8168399135271707,6.950290538779635,487
RP11-16E23.4,3.787891854842504,6.925736776755144,488
LDHAP4,3.7863495548566184,8.639356047839797,489
TTTY15,3.780969818433126,7.173814723894461,490
CCR1,3.7767991622289023,9.851212644973586,491
CD33,3.7737939755121865,7.988924148996906,492
ELL2,3.7736483017603555,6.458152264122103,493
LCK,3.7726385593414307,7.114975660897722,494
DOK3,3.732907255490621,7.081752500859047,495
LGALS2,3.7110067705313363,6.298724698254214,496
RPS29,3.682419170935949,6.426484369741494,497
NUP98,3.670089761416117,7.260927027061399,498
TAP1,3.6686848799387612,9.271952130217885,499
